industries,AUT,BEL,CZE,DNK,EST,FIN,FRA,DEU,GRC,HUN,IRL,ITA,LVA,LTU,LUX,NLD,POL,PRT,SVK,SVN,ESP,SWE,GBR,BGR,HRV,CYP,MLT,ROU
"Rubber and plastics products",0.129831228866644,0.113476760555266,0.430601694643975,0.0868701586006878,0.150648513957846,0.168409729315327,0.0864813916350756,0.141072554948426,0.197843533840607,0.422421940241479,0.0324657427008907,0.164257213416466,0.32296804881596,0.534112692271905,0.112884019962253,0.151469497404703,0.374669533306798,0.124681516158182,0.553907932437795,0.227908859274641,0.0774725667135214,0.114248722078335,0.0607705919110681,1.52862627896434,0.189104172597121,0.0832015065267758,0.0664755947208621,0.284749424461458
"Other non-metallic mineral products",0.107651939160254,0.152308144146205,0.393512289574443,0.133654818749169,0.190631262115493,0.203734683216278,0.0859790822806047,0.252756659701641,0.208768847146863,1.75893084186225,0.0762649703140638,0.203302216112383,0.392914455530505,4.40718972995836,0.134200046256071,0.161962120377812,0.878272828135135,0.124948975055774,1.20797456821192,0.56772896088316,0.081892235254164,0.304788328040299,0.0805842778772029,8.02545553274677,0.181837585703029,0.162319309415561,0.0781762164649976,0.268303089243219
"Basic metals",0.248771516684921,0.273150582876282,0.51061365450925,0.154819922895239,0.236245613502131,0.22589147893541,0.234996461692361,0.579289145719368,0.284017973790407,1.90494608592767,0.0647445130104406,0.525644288196136,0.446380965340391,0.75846897377265,0.203781480070953,0.6113988791999,1.88133557497357,0.155420993437724,2.25000340097642,0.581529675725967,0.191613496388585,0.210128445184038,0.190355831597945,4.70364314735877,0.25882766467433,0.128491508342367,0.0525276685814201,0.47515023538977
"Fabricated metal products",0.138366156324248,0.122251661542171,0.310625295079225,0.0980296556938702,0.188207533732484,0.13111251811546,0.0928114022423929,0.148436653247145,0.217630839616647,0.459588643922534,0.0494126904307416,0.141324329078949,0.284266616102211,0.398203512680743,0.117347731665346,0.134144235163802,0.42304230318423,0.106146092619845,0.386777570725529,0.248345641689239,0.101500384139456,0.131634044397163,0.0493932192457496,1.07151373258195,0.147406570918099,0.150984966469036,0.102044244669994,0.266893315592989
"Computer, electronic and optical equipment",0.0512611738276755,0.0534762074659068,0.196273528083202,0.0379542834537699,0.0631245093144326,0.0666195019597118,0.0381075896847424,0.0543431173358973,0.09987539498454,0.10384588442511,0.0462627017008581,0.0852034103725399,0.153507626183186,0.213705049931347,0.0335715244451262,0.0347954826025269,0.182268534291055,0.053408106571536,0.142057136039155,0.0870704211540686,0.0351988876523996,0.0405916952895269,0.0190457744552615,0.582843226615394,0.0503800349907368,0.0584164772079133,0.0846564111603877,0.144391305403542
"Electrical equipment",0.0902139356856814,0.121538587413984,0.262150471425824,0.0569524245957435,0.113234199093657,0.102329457478426,0.0719991514027734,0.0906236655706235,0.193809061595211,0.315947420937021,0.0522515933573802,0.127550485852808,0.236900726157768,0.479514471375802,0.0977751770957509,0.0933370627803496,0.317154146777853,0.10736854847444,0.254124191849497,0.170099246069407,0.0811400249580626,0.092525945246091,0.0412069467602704,1.26578041203592,0.12662947601005,0.0616036391273629,0.0655181360116829,0.207449680789315
"Machinery and equipment, nec ",0.0844080290637822,0.082480619148736,0.314777983695967,0.0683103057414177,0.143217583891689,0.0990999625876688,0.0716040990485296,0.111254470202328,0.227210259286944,0.258068903895451,0.0557220906517881,0.11801886251194,0.240908270507937,0.382167068424581,0.0985392201654648,0.0672891236707171,0.315278878100604,0.0982441364470628,0.403839358515147,0.227429628553124,0.0687124461232698,0.0744293881358051,0.0413772787483627,1.32105043960381,0.118195286057406,0.0548588861726511,0.0847821595387054,0.264148135497855
"Motor vehicles, trailers and semi-trailers",0.0909818766335029,0.0701296059055857,0.207760637428702,0.0713638862974824,0.0941008580850844,0.0951202511834512,0.0752238274503541,0.0911888536168181,0.140324992048491,0.189449079747641,0.0454160628078493,0.10696517664894,0.495574405465089,0.28066129199926,0.0861170107983786,0.0700575831973783,0.22813491388686,0.0758599795628368,0.200943237353526,0.205719136567814,0.0710638503396809,0.0758891292060941,0.0502581288768747,0.758955601974376,0.0871371411310307,0.0559171662861218,0.0737286647935288,0.209317068028208
"Other transport equipment",0.088920035560052,0.0539490027654729,0.220670492377427,0.0715676420040682,0.112248918985081,0.18319202218698,0.0515097480688975,0.0990479651984782,0.358060507075002,0.495212317224301,0.0517813746853689,0.0930519881989347,0.282517784393657,0.397806039960968,0.0957942812239986,0.141516475489832,0.273286559611701,0.0859436746160252,0.465268751782428,0.178443808047957,0.0453146364961148,0.070829092484002,0.0413589990824175,1.20700705369828,0.145073499666019,0.0504681999667628,0.0511581320832733,0.181238866641501
"Manufacturing nec; repair and installation of machinery and equipment",0.108508286612013,0.0694486979129242,0.235175544488791,0.0624558332528305,0.13313260533277,0.0985800019731322,0.057529638587898,0.0932653348455891,0.143932510258371,0.235919643137409,0.016886947591543,0.11326234147829,0.433612733283111,0.38909724137593,0.0632766608421839,0.0763499126691612,0.244289594451436,0.0762390393897188,0.230509878833809,0.11700853918115,0.0456465932755303,0.138202240246117,0.038206248001317,1.13503741422793,0.102970308761084,0.0427661985109284,0.0560189320400936,0.160153503492363
"Electricity, gas, steam and air conditioning supply",0.150604455128895,0.127140840097569,1.78101495268368,0.0969990850060001,0.420699794760137,0.520684682167333,0.359674032372902,0.349583880741507,0.189634906216451,1.63778955165726,0.0321499870340604,0.462529030730914,2.6620149835377,2.71089400393681,0.0913435305757711,0.612669528151181,0.76356197773236,0.349740729277557,2.63322675630632,0.395312411263861,0.16045462125721,0.125686992605923,0.139417819141821,4.97661040490512,0.320582165420776,0.104690636400777,0.283912491293271,0.805561553276389
"Water supply; sewerage, waste management and remediation activities",0.0542677957175639,0.0519357399894353,0.285785636874584,0.0356214387556246,0.128318669242028,0.169780787333724,0.0468842486260924,0.0693205651076415,0.158656271451201,0.427023720713847,0.0143866558857216,0.12207315338576,0.347017869296158,0.570826337410511,0.0307911568207189,0.0645451979750872,0.285334694972371,0.0770397251806652,0.356791645952763,0.232377142575691,0.0439209477894982,0.118506267317081,0.0182462484724782,1.57203915676821,0.125832718795871,0.0259226875747519,0.0804166975103983,0.16448619648023
"Construction",0.0689275489017256,0.0627086450668894,0.226963233359761,0.0676840050134299,0.145839239985849,0.169307551448854,0.0458497084526378,0.0888462638879739,0.134755536888136,0.555090499056529,0.0337628501059801,0.092256659510019,0.295108028418417,0.37535056555389,0.0409827135802229,0.0817319713669334,0.347052461579053,0.076098936278864,0.328331572009268,0.127179927006523,0.0370143002544048,0.11948240195032,0.0289286929404061,2.15138245150874,0.186510967808712,0.0402760366678814,0.0659469149548533,0.232130372449453
"Wholesale and retail trade; repair of motor vehicles",0.0367828716871579,0.0368580261750681,0.195527936965937,0.0283936448886445,0.0645746846107659,0.0846245434551925,0.0354456529355278,0.0638808887684151,0.064591399602685,0.350463018800732,0.0140941703282613,0.0654060584238393,0.196636066588196,0.194661637056841,0.0229960054382489,0.0404036727460831,0.147890170510294,0.0452813020889672,0.263213115739494,0.105391519396936,0.0222212010925825,0.0394361127456515,0.0266139376613777,0.960411846715671,0.0897453597430001,0.0182367521231885,0.0401513017170094,0.156887379015253
"Land transport and transport via pipelines",0.127827966787432,0.121679002991206,0.60593613993089,0.172182428928073,0.390198648212364,0.872669037937782,0.123751800877002,0.121674753312676,0.153332749978823,0.938115321044925,0.0299941073606313,0.224742155279906,0.854522212661613,1.06000600157437,0.0388477706760877,0.222040520770249,0.744137586508527,0.247663359691909,0.670789808626348,0.252367129067058,0.103203940764577,0.427580264122336,0.0767568210803486,1.9706909116279,0.172787414319165,0.0688912783720701,0.143385304019546,0.281841536696438
"Water transport",0.163808957721571,0.120323254901713,0.574553461438208,0.244193824046312,0.307632940380684,0.715027760701923,0.123503232758506,0.166970262291303,0.30127400412123,1.08859350162565,0.0468012606661933,0.385300956718691,0.161807604007998,0.599773699333253,0.114369774259809,0.19870536464368,0.305733919526697,0.0948889729361798,0.394968150231502,0.0878856149910566,0.089934805259398,0.574025241116571,0.0444097913221221,0.94895647055143,0.235803405862052,0.0186046027369598,0.0859216585701568,0.0978855484526425
"Air transport",0.282252502954395,0.30956613580184,0.979117725414291,0.403751608138287,0.563509989924401,1.32024738725975,0.28682684161514,0.452289047350936,0.352978071576036,1.73050939824506,0.0810142798411883,0.460027715347175,0.825795374144205,1.10064003504818,0.24876072298833,0.508811165625265,0.54926904498585,0.375390745113792,0.596527647015477,0.256597939880914,0.113961461641188,0.879331741580829,0.222441304352507,1.83234298920469,0.239340965625685,0.0573871031691397,0.218553975776774,0.276717061593273
"Warehousing and support activities for transportation",0.04148729967891,0.0527786396860858,0.324291178682906,0.036971332350147,0.117404190513676,0.346806351169454,0.0344597871956799,0.117772226954073,0.181024618774335,0.426832590355081,0.0188287206540996,0.176970904565701,0.302063288818957,0.33780562137866,0.0426109278310021,0.0621346676840338,0.239294288731594,0.0371604561295539,0.719483018742943,0.0847856152234026,0.0393890031091103,0.137411751719375,0.0351468532832973,0.84156644249494,0.173857918907468,0.0395563905391462,0.0839300074759434,0.112184356599412
"Postal and courier activities",0.0444820004849533,0.0777441984156771,0.239087830486007,0.0689742240247831,0.104745653389667,0.262895058292212,0.0273420402815936,0.132178671145989,0.259393321038608,0.37792958105461,0.0177456267651312,0.256321465722723,0.22762457944708,0.481248590505122,0.0714096450407259,0.0565070347735128,0.314257106950797,0.0423929809504021,0.317653529179179,0.0950397145268516,0.0507319614374618,0.113116960282965,0.0393805867237516,1.17862939705636,0.0731361926973872,0.0426978462463342,0.14865877647801,0.179226950038126
"Accommodation and food service activities",0.0444612552104492,0.044525038468615,0.173383003807553,0.0345784249115456,0.0952276099203993,0.111334978679834,0.0345009769725851,0.0698852604733371,0.0909332172506596,0.471644035582458,0.00997973112854638,0.110503419225705,0.259831819680471,0.465155158372169,0.0306214141644378,0.0860194388760945,0.194949277130217,0.0487062210940816,0.435381780918669,0.10829866650885,0.0240387490007043,0.0525958168265139,0.0212364149497013,1.42910992188131,0.0885169649533141,0.0266736426695223,0.053805478363003,0.138816155519728
"Publishing, audiovisual and broadcasting activities",0.0396230679559155,0.0331451302185324,0.11156851174068,0.0188685588062772,0.060360535295535,0.0697400113832824,0.0533230641300713,0.0408905941791317,0.0571932120259181,0.152016540327845,0.0117060165809223,0.056135476417289,0.196257062352851,0.524428869286463,0.0261607115964502,0.0358573934358714,0.103453184399063,0.0357635631539523,0.272086052919329,0.0648341577115497,0.0229945738364809,0.0237467199869665,0.0140889426153688,0.413932181822463,0.0719910832357783,0.018315876763303,0.0276982826405319,0.0897248064776368
"Telecommunications",0.0150379098136496,0.0113277312935776,0.0448409070827061,0.0130035593804421,0.0203868900081796,0.0277100640618256,0.0189104870129412,0.0205107330613582,0.0222928762430492,0.064324706419612,0.0050526725476464,0.0208960710757774,0.0807180413886893,0.168217922677458,0.0110372825396022,0.0170195207485063,0.0559704096929181,0.0170034010858542,0.0791789106777541,0.0205346135700868,0.015273328016105,0.0146478460315269,0.00572212757630796,0.284235879221542,0.0317393743408694,0.00798667239270144,0.0118470541898566,0.0612328368946304
"IT and other information services",0.0258321104504373,0.0263366187281656,0.0614822003149049,0.0170178733333914,0.0349366824271637,0.0551003428297293,0.0171610482789668,0.0178237665700107,0.0478149422540502,0.0822447564747472,0.022321034497306,0.0328541339556515,0.0783500156895948,0.204783339737126,0.0327198369468681,0.0269577950271921,0.0650178599894408,0.0223392180399633,0.123276651622324,0.0409012610084138,0.0208796295069571,0.0196986854597172,0.0101669875663519,0.309928699799455,0.0566373637325973,0.0143633937117726,0.0420891602688696,0.073851996454895
"Financial and insurance activities",0.0154623486782564,0.016080853057367,0.0654328509975318,0.00629134968488792,0.0237806465626336,0.0707346908723671,0.0144137908707467,0.0195060236168633,0.0100714959274629,0.0774648931669914,0.00826981008804162,0.0242803234032015,0.0591156886770261,0.133346684634399,0.00919981832874248,0.0156835904343335,0.125845029211011,0.0113321100854476,0.0857371254014143,0.0316968129232381,0.00853443830879623,0.00891558316653026,0.0117387525188481,0.203094863481701,0.0293666674492083,0.00986672733469246,0.0318044129539724,0.0438474666946239
"Real estate activities",0.00299471925603124,0.00183029265486144,0.0273801809716061,0.00196609003392061,0.0074930145005643,0.014822128192072,0.000911746537361582,0.00230139475833442,0.00151543171621989,0.0193921154943008,0.000474657892393583,0.00177178786512588,0.0286592423586068,0.0460298597893843,0.00169600852765366,0.00420489594318563,0.0415372041492802,0.00129689928376156,0.0326268188176504,0.00465680152736058,0.000787519105066006,0.00618939281067767,0.000854380593179469,0.0660830510181482,0.0138898023525809,0.000927400599348753,0.00412802035854458,0.00731246097582829
"Professional, scientific and technical activities",0.0309082523445032,0.0230058105328544,0.128033295515193,0.0163482650428945,0.0531405732082219,0.0637577509915988,0.0222939796874633,0.02903554740618,0.042294919430507,0.217963359605046,0.00912443249900649,0.0484637917698397,0.116343400447126,0.219546857888662,0.0210643669955777,0.0412492805422587,0.109166336325892,0.0299376162560933,0.486162743485948,0.0717411870581436,0.0184653103482313,0.023579280868162,0.0129658091156271,0.443110560570366,0.11408003649626,0.00968334400409831,0.0335017051958099,0.107895039820145
